source_name_en,kcal_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,aliases_it,portion_small_g,portion_medium_g,portion_generous_g
"Mushrooms, white, raw",22.0,3.1,0.3,3.3,1.0,funghi;fungo;champignon,50,80,120
"Artichokes, (globe or french), raw",47.0,3.3,0.2,10.5,5.4,carciofo;carciofi,80,120,160
"Fennel, bulb, raw",31.0,1.2,0.2,7.3,3.1,finocchio;finocchi,60,100,150
"Asparagus, raw",20.0,2.2,0.1,3.9,2.1,asparagi;asparago,60,80,120
"Celery, raw",14.0,0.7,0.2,3.0,1.6,sedano,40,60,80
"Pumpkin, raw",26.0,1.0,0.1,6.5,0.5,zucca,80,120,200
"Cabbage, raw",25.0,1.3,0.1,5.8,2.5,cavolo;verza,60,100,150
"Beets, raw",43.0,1.6,0.2,9.6,2.8,barbabietola,60,80,120
"Radishes, raw",16.0,0.7,0.1,3.4,1.6,ravanello;ravanelli,30,50,80
"Rice, white, long-grain, regular, raw, enriched",365.0,7.1,0.7,80.0,1.3,riso;riso bianco,50,70,100
"Rice, brown, long-grain, raw",367.0,7.5,2.7,76.2,3.5,riso integrale,50,70,100
Pasta dry,371,13.0,1.5,74.7,3.2,pasta;pasta secca;spaghetti;penne;fusilli;maccheroni,50,70,110
Pasta cooked,158,5.8,0.9,30.9,1.8,pasta cotta;pasta scolata,130,180,280
"Bread, white, commercially prepared",270.0,9.0,3.3,49.4,2.4,pane;pane bianco;pane comune,40,60,100
"Bread, whole-wheat, commercially prepared",252.0,13.0,4.2,41.3,6.8,pane integrale,40,60,100
Breadsticks,428,11.0,12.0,70.0,3.0,grissini,10,20,30
"Crackers, standard snack-type, regular",510.0,9.0,21.0,62.0,2.5,cracker,10,20,30
Rusks,408,10.0,8.0,75.0,3.0,fette biscottate,15,30,45
Couscous cooked,112,3.8,0.2,23.2,1.4,cuscus;couscous,130,180,280
Polenta cooked,85,1.7,0.4,18.0,0.9,polenta,130,180,280
"Cereals, QUAKER, Quick Oats, Dry",371.0,13.2,6.5,68.7,10.1,avena;fiocchi d'avena,30,40,60
"Barley, pearled, raw",352.0,9.9,1.2,77.7,15.6,orzo,50,70,100
"Bulgur, dry",342.0,12.3,1.3,75.9,18.3,bulgur,50,70,100
"Wheat flour, white, all-purpose, unenriched",364.0,10.3,1.0,76.3,2.7,farina;farina di frumento;farina 00,30,50,100
"Corn flour, whole-grain, yellow",361.0,6.9,3.9,76.9,7.3,farina di mais,30,50,100
Pizza dough,266,8.0,3.0,55.0,2.5,impasto per pizza,150,220,330
"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt",164.0,8.9,2.6,27.4,7.6,ceci,60,100,150
"Lentils, mature seeds, cooked, boiled, without salt",116.0,9.0,0.4,20.1,7.9,lenticchie,60,100,150
"Beans, white, mature seeds, cooked, boiled, without salt",139.0,9.7,0.5,25.1,6.3,fagioli;fagioli bianchi;cannellini,60,100,150
Beans borlotti cooked,130,8.7,0.5,23.0,6.0,fagioli borlotti,60,100,150
"Soybeans, mature seeds, cooked, boiled, with salt",172.0,16.6,9.0,8.4,6.0,soia,40,60,100
"Tofu, raw, firm, prepared with calcium sulfate",144.0,15.8,8.7,2.0,1.2,tofu,60,100,150
"Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, all grades, raw",124.0,22.6,4.0,0.0,0.0,manzo;carne di manzo;bistecca di manzo,80,120,200
Beef ground raw,254,17.2,20.0,0.0,0.0,macinato di manzo;carne macinata,80,120,200
"Veal, leg (top round), separable lean only, raw",107.0,21.4,2.9,0.0,0.0,vitello;carne di vitello,80,120,200
"Pork, fresh, loin, whole, separable lean only, raw",143.0,21.5,5.4,0.0,0.0,maiale;lonza di maiale;carne di maiale,80,120,200
Pork sausage,296,13.0,26.0,1.0,0.0,salsiccia,60,90,150
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",120.0,22.5,2.6,0.0,0.0,pollo;petto di pollo,80,120,200
"Chicken, broilers or fryers, dark meat, thigh, meat only, raw",121.0,17.9,8.9,0.0,0.0,coscia di pollo,80,120,200
"Turkey, whole, breast, meat only, raw",114.0,24.6,1.0,0.0,0.0,tacchino;petto di tacchino,80,120,200
"Lamb, leg, shank half, separable lean only, trimmed to 1/4"" fat, choice, raw",125.0,20.8,5.3,0.0,0.0,agnello;carne di agnello,80,120,200
"Game meat, rabbit, domesticated, composite of cuts, raw",136.0,21.0,4.0,0.0,0.0,coniglio;carne di coniglio,80,120,200
Prosciutto crudo,268,26.0,15.0,0.3,0.0,prosciutto crudo,30,50,80
Prosciutto cotto,145,20.0,6.5,1.0,0.0,prosciutto cotto,30,50,80
Bresaola,151,32.0,2.6,0.5,0.0,bresaola,30,40,60
Salami,407,22.0,34.0,1.5,0.0,salame,30,50,80
Mortadella,288,15.0,25.0,2.0,0.0,mortadella,30,50,80
Bacon,417,12.0,42.0,1.0,0.0,pancetta;bacon,20,30,50
"Fish, cod, Atlantic, raw",82.0,17.8,0.7,0.0,0.0,merluzzo;baccala,80,120,200
"Fish, salmon, Atlantic, farmed, raw",208.0,20.4,13.4,0.0,0.0,salmone,80,120,200
"Fish, tuna, fresh, bluefin, raw",144.0,23.3,4.9,0.0,0.0,tonno,80,120,200
"Fish, tuna, light, canned in oil, drained solids",198.0,29.1,8.2,0.0,0.0,tonno in scatola;tonno sott'olio,40,60,100
"Fish, sea bass, mixed species, raw",97.0,18.4,2.0,0.0,0.0,branzino;spigola,100,150,250
Sea bream raw,96,18.0,3.0,0.0,0.0,orata,100,150,250
"Crustaceans, shrimp, raw",85.0,20.9,0.5,0.9,0.0,gamberi;gamberetti;gambero,60,100,150
"Mollusks, squid, mixed species, raw",92.0,15.6,1.4,3.1,0.0,calamari;calamaro,60,100,150
"Mollusks, mussel, blue, raw",86.0,11.9,2.2,3.7,0.0,cozze,100,150,250
"Mollusks, clam, mixed species, raw",86.0,12.8,1.0,2.6,0.0,vongole,100,150,250
"Mollusks, octopus, common, raw",82.0,14.9,1.0,2.2,0.0,polpo,80,120,200
"Fish, anchovy, european, raw",131.0,20.4,4.8,0.0,0.0,acciughe;alici,20,30,50
"Egg, whole, raw, fresh",143.0,12.6,9.5,0.7,0.0,uova;uovo,50,60,120
"Egg, white, raw, fresh",52.0,10.9,0.2,0.7,0.0,albume,30,40,80
"Egg, yolk, raw, fresh",322.0,15.9,26.5,3.6,0.0,tuorlo,15,20,40
"Milk, whole, 3.25% milkfat, with added vitamin D",61.0,3.2,3.3,4.8,0.0,latte;latte intero,100,200,250
"Milk, fluid, nonfat, calcium fortified (fat free or skim)",35.0,3.4,0.1,5.0,0.0,latte scremato,100,200,250
Milk semi skimmed,46,3.3,1.6,4.9,0.0,latte parzialmente scremato,100,200,250
"Yogurt, plain, whole milk",61.0,3.5,3.3,4.7,0.0,yogurt;yogurt intero,100,125,200
Yogurt greek,97,9.0,5.0,3.6,0.0,yogurt greco,100,150,200
"Yogurt, plain, low fat",63.0,4.0,1.5,5.7,0.0,yogurt magro,100,125,200
"Cheese, mozzarella, whole milk",299.0,22.2,22.4,2.2,0.0,mozzarella;fiordilatte,50,100,125
"Cheese, parmesan, hard",392.0,35.8,25.8,3.2,0.0,parmigiano;grana padano;parmigiano reggiano,20,30,50
"Cheese, ricotta, whole milk",150.0,11.3,13.0,3.0,0.0,ricotta,50,100,150
Mascarpone,429,4.8,44.0,4.8,0.0,mascarpone,20,30,50
Stracchino,280,18.0,25.0,1.0,0.0,stracchino;crescenza,30,50,80
Gorgonzola,330,19.0,27.0,2.0,0.0,gorgonzola,30,50,80
Pecorino,387,26.0,30.0,1.0,0.0,pecorino,20,30,50
"Cheese, provolone",351.0,25.6,26.6,2.1,0.0,provolone,30,50,80
"Cheese, feta",265.0,14.2,21.3,4.1,0.0,feta,30,50,80
"Cheese, cream",350.0,6.2,34.4,4.1,0.0,formaggio spalmabile;philadelphia,20,30,50
"Cream, fluid, heavy whipping",340.0,2.1,36.1,2.8,0.0,panna;panna da cucina;panna fresca,20,30,50
"Butter, salted",717.0,0.9,81.1,0.1,0.0,burro,5,10,20
"Oil, olive, salad or cooking",884.0,0.0,100.0,0.0,0.0,olio;olio d'oliva;olio extravergine,5,10,20
"Oil, sunflower, linoleic, (approx. 65%)",884.0,0.0,100.0,0.0,0.0,olio di semi;olio di girasole,5,10,20
"Sugars, granulated",387.0,0.0,0.0,100.0,0.0,zucchero;zucchero bianco,3,5,10
Honey,304.0,0.3,0.0,82.4,0.2,miele,5,10,20
Jams and preserves,278.0,0.3,0.1,70.0,1.0,marmellata;confettura,10,20,30
Nutella,539,6.0,31.0,57.5,3.4,nutella;crema alla nocciola,15,30,50
"Candies, SPECIAL DARK Chocolate Bar",556.0,5.5,43.1,46.4,10.9,cioccolato fondente,10,20,30
"Candies, milk chocolate",535.0,7.7,29.7,59.4,3.4,cioccolato al latte;cioccolata,10,20,30
"Cookies, graham crackers, plain or honey (includes cinnamon)",430.0,7.5,11.0,76.0,3.0,biscotti,20,30,50
"Cereals ready-to-eat, RALSTON Corn Flakes",384.0,7.5,0.9,84.0,3.0,cereali;fiocchi di mais,30,40,60
"Snacks, granola bars, hard, plain",471.0,8.0,20.0,64.0,5.0,muesli;granola,20,30,40
"Croissants, butter",406.0,8.2,21.0,45.8,2.6,cornetto;brioche;croissant,30,50,80
"Ice creams, vanilla",207.0,3.5,11.0,23.6,0.7,gelato;gelato alla vaniglia,70,100,150
"Beverages, carbonated, cola, regular",42.0,0.0,0.0,10.6,0.0,coca cola;cola,150,330,500
"Orange juice, raw",45.0,0.7,0.2,10.4,0.2,succo d'arancia;spremuta,100,200,250
"Alcoholic beverage, beer, regular, all",43.0,0.5,0.0,3.6,0.0,birra,330,500,660
"Alcoholic beverage, wine, table, red",85.0,0.1,0.0,2.6,0.0,vino;vino rosso,100,150,250
"Alcoholic beverage, wine, table, white",82.0,0.1,0.0,2.6,0.0,vino bianco,100,150,250
"Beverages, coffee, brewed, espresso, restaurant-prepared",9.0,0.1,0.2,1.7,0.0,caffe;espresso,20,30,40
Cappuccino,45,3.0,3.0,4.5,0.0,cappuccino,100,150,200
"Water, bottled, generic",0.0,0.0,0.0,0.0,0.0,acqua,,,
Catsup,101.0,1.0,0.1,25.8,0.4,ketchup,10,15,30
"Salad dressing, mayonnaise, regular",680.0,1.1,74.9,1.0,0.0,maionese,10,15,30
Pesto sauce,303,4.0,28.0,5.0,1.5,pesto;pesto alla genovese,15,25,40
"Tomato sauce, canned, no salt added",24.0,1.2,0.2,5.3,1.4,sugo di pomodoro;passata di pomodoro,40,60,100
"Vinegar, balsamic",88.0,0.5,0.0,17.0,0.0,aceto balsamico,5,10,15
"Vinegar, red wine",19.0,0.0,0.0,0.3,0.0,aceto;aceto di vino,5,10,15
"Spices, pepper, black",251.0,10.4,3.3,63.9,25.3,pepe;pepe nero,,,
"Salt, table",0.0,0.0,0.0,0.0,0.0,sale,,,
"Basil, fresh",23.0,3.2,0.6,2.6,1.6,basilico,,,
"Parsley, fresh",36.0,3.0,0.8,6.3,3.3,prezzemolo,,,
"Spices, oregano, dried",265.0,9.0,4.3,68.9,42.5,origano,,,
"Rosemary, fresh",131.0,3.3,5.9,20.7,14.1,rosmarino,,,
